User-ID,ISBN,Rating,user_idx,book_idx
276822,0375821813,9,0,1
276822,0786817070,10,0,2
276847,3442446414,10,1,4
276847,3551551677,10,1,5
276847,3551551685,10,1,6
276847,3551551693,10,1,7
276847,3551551936,10,1,8
276925,002542730X,10,2,9
276925,0385504209,8,2,11
276925,950491036X,10,2,12
276929,2266102621,10,3,13
276939,2070419657,7,4,15
276939,2253137243,9,4,17
276939,2253144452,9,4,18
276939,8423310353,8,4,19
276964,0345348672,10,5,20
276964,0345354621,10,5,21
276964,0440220602,9,5,22
276964,0684867621,8,5,23
276964,0812550307,10,5,24
276964,0886773741,7,5,26
276964,0886774802,8,5,27
276964,0886774829,8,5,28
276964,0886775426,9,5,29
276964,0886775957,10,5,30
276994,3492045170,7,6,32
276994,3548359698,6,6,33
277157,0316154059,5,7,35
277157,0345450175,6,7,36
277157,0345452550,7,7,37
277157,0399146504,7,7,38
277157,0399146687,7,7,39
277157,0399147101,7,7,40
277157,0399148337,6,7,41
277157,0399148639,6,7,42
277157,0399148728,8,7,43
277157,0399151451,7,7,44
277157,0425183181,5,7,45
277157,0671024094,7,7,46
277157,0679450408,6,7,47
277157,074320607X,7,7,48
277157,0743486226,7,7,49
277195,0060391626,10,8,50
277195,0330332775,10,8,51
277195,055326611X,10,8,52
277195,0553347756,10,8,53
277195,0553379615,10,8,54
277195,0670869902,10,8,55
277195,0671021001,10,8,56
277195,1573221856,10,8,58
277203,030700645X,8,9,59
277203,0307127923,8,9,60
277203,0307302636,8,9,61
277203,039480001X,9,9,62
277203,0394800028,9,9,63
277203,0394800184,9,9,64
277203,039480029X,8,9,65
277203,039480967X,8,9,66
277203,059044297X,9,9,67
277203,0717283194,8,9,68
277203,0717283364,8,9,70
277378,0312195516,7,10,71
277378,0670892963,7,10,73
277378,0671646575,6,10,74
277378,0804114986,5,10,75
277378,0812507452,4,10,76
277378,0812515560,5,10,77
277378,0812515595,4,10,78
277427,002542730X,10,11,9
277427,0060542128,7,11,79
277427,0061009059,9,11,80
277427,0152050167,10,11,81
277427,0316776963,8,11,82
277427,0345413903,10,11,83
277427,0375751513,9,11,84
277427,0380702843,8,11,85
277427,0380791978,9,11,86
277427,0385424736,9,11,87
277427,0385486804,9,11,88
277427,0385503857,9,11,89
277427,0385504209,8,11,11
277427,039304016X,8,11,90
277427,0399149562,7,11,91
277427,0399501487,9,11,92
277427,0425104338,9,11,93
277427,0425116840,8,11,94
277427,0425133516,9,11,95
277427,0425190749,7,11,96
277427,0440185327,5,11,97
277427,0440224764,7,11,98
277427,0440236738,9,11,100
277427,0440428130,8,11,101
277427,0441627404,10,11,102
277427,0446350982,9,11,103
277427,0446522384,8,11,104
277427,0446600415,10,11,105
277427,0446608890,10,11,106
277427,0451191153,8,11,107
277427,0451203593,10,11,108
277427,0452284449,6,11,109
277427,0553078925,8,11,110
277427,0553280368,9,11,111
277427,0553571656,10,11,112
277427,0553573926,10,11,113
277427,0553574566,9,11,114
277427,0553581929,9,11,115
277427,0671528904,8,11,116
277427,0671740504,8,11,117
277427,0671876821,8,11,118
277427,0679417648,10,11,119
277427,0679731148,9,11,120
277427,0679736042,5,11,121
277427,0736903054,8,11,122
277427,0740723367,9,11,123
277427,0743406176,8,11,124
277427,0743412028,9,11,125
277427,0743422082,9,11,126
277427,0743444477,9,11,127
277427,0743457943,8,11,128
277427,0767903382,10,11,129
277427,0786866845,10,11,130
277427,0810909650,5,11,131
277427,0811802981,10,11,132
277427,0811811409,10,11,133
277427,0812531353,8,11,134
277427,0836210263,10,11,135
277427,0836217691,10,11,136
277427,0836218515,10,11,137
277427,0836218817,10,11,138
277427,0836221192,10,11,139
277427,0836221311,8,11,140
277427,0836236688,10,11,141
277427,0843947888,7,11,142
277427,0890876517,10,11,143
277427,0898157803,10,11,144
277427,1400060265,10,11,145
277427,1565075722,10,11,146
277427,8251800811,7,11,147
277478,0312979533,7,12,149
277478,0440213320,7,12,150
277478,0449907635,5,12,151
277478,0752853694,10,12,152
277478,1558745718,8,12,153
277523,0316603570,10,13,155
277523,0316693200,10,13,156
277523,0345452577,10,13,157
277523,0345452593,10,13,158
277523,0385336322,10,13,159
277523,0385508042,10,13,160
277523,0385510438,10,13,161
277523,039915180X,10,13,162
277523,0399151877,10,13,163
277523,0440241537,10,13,164
277523,0446530891,10,13,165
277523,0446613843,10,13,166
277523,0515133302,10,13,167
277523,0553801589,10,13,168
277523,0553803409,10,13,169
277523,0671886665,10,13,170
277523,0684835983,10,13,171
277523,0743206045,10,13,172
277523,1558744150,10,13,173
277629,0374184232,4,14,174
277629,0380018179,8,14,175
